0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
5048030112,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1
5048030110,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1
5048030106,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1
5048030104,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1
5048030028,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1
5048030027,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1
5048030026,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1
5048030025,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1
5048030024,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1
5048030023,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1
5048030022,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1
5048030018,4,1,4,1,4,1,4,1,4,1,,1,1,1,1,1,1,1
5048030017,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1
5048020094,4,1,4,1,4,1,4,1,4,1,3,1,4,1,4,1,4,1
5048020093,4,1,4,1,4,1,4,1,4,1,3,1,4,1,4,1,4,1
5048020090,3,1,3,1,3,1,4,1,4,1,4,1,3,1,3,1,3,1
5048020024,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1
5048020023,4,1,4,1,4,1,4,1,4,1,3,1,4,1,4,1,4,1
5048020022,3,1,3,1,3,1,4,1,4,1,4,1,3,1,3,1,3,1
5048020021,3,1,3,1,3,1,4,1,4,1,4,1,3,1,3,1,3,1
5048020019,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5048020018,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5048020011,4,1,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1
5047930131,5,1,5,1,5,1,5,1,4,1,4,1,4,1,4,1,4,1
5047930128,5,1,5,1,5,1,5,1,4,1,4,1,4,1,4,1,4,1
5047930126,4,1,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1
5047930124,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1
5047930114,5,1,5,1,5,1,5,1,4,1,,1,4,1,4,1,4,1
5047930112,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1
5047930110,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1
5047930108,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1
5047930106,3,1,3,1,3,1,4,1,4,1,4,1,3,1,3,1,3,1
5047930102,4,1,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1
5047930100,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1
5047930098,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1
5047930096,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1
5047930094,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1
5047930092,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1
5047930088,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1
5047930080,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1
5047930078,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1
5047930077,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1
5047930076,3,1,3,1,3,1,4,1,4,1,4,1,3,1,3,1,3,1
5047930075,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047930074,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047930072,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047930070,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047930068,4,1,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1
5047930067,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1,1
5047930064,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1
5047930062,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1,1
5047930059,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1,1
5047930058,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047930057,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1
5047930055,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047930054,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1,1,1,1
5047930053,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047930050,4,1,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1
5047930049,4,1,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1
5047930046,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047930045,4,1,4,1,4,1,4,1,5,1,5,1,5,1,5,1,5,1
5047930043,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047930042,5,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047930041,5,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1
5047930040,5,1,5,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047930038,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047930037,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047930036,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047930035,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1,1
5047930033,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047930032,4,1,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1
5047930031,5,1,5,1,5,1,5,1,4,1,4,1,4,1,4,1,4,1
5047930030,5,1,5,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047930027,5,1,5,1,5,1,5,1,4,1,4,1,4,1,4,1,4,1
5047930026,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1
5047930025,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1
5047930017,5,1,5,1,5,1,5,1,4,1,4,1,4,1,4,1,4,1
5047930015,5,1,5,1,5,1,5,1,4,1,4,1,4,1,4,1,4,1
5047930005,4,1,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1
5047930002,5,1,5,1,5,1,5,1,4,1,4,1,4,1,4,1,4,1
5047930001,5,1,5,1,5,1,5,1,4,1,4,1,4,1,4,1,4,1
5047920210,4,1,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1
5047920209,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047920208,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047920206,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047920204,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047920201,4,1,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1
5047920132,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1
5047920124,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1
5047920121,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047920119,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047920115,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1,1,1,1
5047920114,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1
5047920113,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047920111,4,1,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1
